date,portfolio_value
2022-04-29,83298.56230500009
2022-05-02,83283.68230500008
2022-05-03,83274.38230500008
2022-05-04,83315.30230500008
2022-05-05,83293.91230500009
2022-05-06,83289.26230500008
2022-05-09,83329.25230500009
2022-05-10,83320.88230500008
2022-05-11,83322.74230500008
2022-05-12,83345.06230500009
2022-05-13,83336.69230500008
2022-05-16,83345.99230500008
2022-05-17,83313.44230500008
2022-05-18,83322.74230500008
2022-05-19,83344.13230500008
2022-05-20,83356.22230500009
2022-05-23,83345.99230500008
2022-05-24,83385.05230500008
2022-05-25,83394.35230500008
2022-05-26,83397.14230500009
2022-05-27,83402.72230500009
2022-05-31,83377.61230500008
2022-06-01,83335.76230500008
2022-06-02,83339.48230500009
2022-06-03,83333.90230500008
2022-06-06,83314.37230500008
2022-06-07,83315.30230500008
2022-06-08,83306.00230500009
2022-06-09,83294.84230500009
2022-06-10,83231.60230500008
2022-06-13,83151.62230500008
2022-06-14,83123.72230500009
2022-06-15,83179.52230500008
2022-06-16,83201.84230500009
2022-06-17,83196.26230500008
2022-06-21,83188.82230500008
2022-06-22,83235.32230500008
2022-06-23,83248.34230500009
2022-06-24,83244.62230500008
2022-06-27,83227.88230500008
2022-06-28,83226.02230500008
2022-06-29,83244.62230500008
2022-06-30,83275.31230500009
2022-07-01,83304.14230500009
2022-07-05,83301.35230500008
2022-07-06,83262.29230500008
2022-07-07,83248.34230500009
2022-07-08,83228.81230500009
2022-07-11,83237.18230500008
2022-07-12,83245.55230500008
2022-07-13,83225.09230500009
2022-07-14,83220.44230500008
2022-07-15,83231.60230500008
2022-07-18,83224.16230500009
2022-07-19,83205.56230500009
2022-07-20,83203.70230500009
2022-07-21,83248.34230500009
2022-07-22,83285.54230500008
2022-07-25,83274.38230500008
2022-07-26,83267.87230500008
2022-07-27,83288.33230500009
2022-07-28,83321.81230500009
2022-07-29,83319.02230500008
2022-08-01,83303.21230500008
2022-08-02,83253.92230500009
2022-08-03,83255.78230500009
2022-08-04,83279.96230500008
2022-08-05,83215.79230500008
2022-08-08,83227.88230500008
2022-08-09,83213.93230500008
2022-08-10,83226.95230500009
2022-08-11,83224.16230500009
2022-08-12,83225.09230500009
2022-08-15,83239.97230500009
2022-08-16,83227.88230500008
2022-08-17,83213.00230500009
2022-08-18,83234.39230500009
2022-08-19,83226.95230500009
2022-08-22,83207.42230500009
2022-08-23,83211.14230500009
2022-08-24,83196.26230500008
2022-08-25,83205.56230500009
2022-08-26,83199.98230500009
2022-08-29,83190.68230500008
2022-08-30,83183.24230500008
2022-08-31,83179.52230500008
2022-09-01,83151.62230500008
2022-09-02,83184.17230500009
2022-09-06,83152.55230500008
2022-09-07,83172.08230500009
2022-09-08,83155.34230500009
2022-09-09,83140.46230500008
2022-09-12,83138.60230500008
2022-09-13,83088.38230500008
2022-09-14,83073.50230500009
2022-09-15,83059.55230500008
2022-09-16,83066.06230500009
2022-09-19,83047.46230500008
2022-09-20,83040.02230500008
2022-09-21,83027.93230500008
2022-09-22,83002.82230500008
2022-09-23,82983.29230500008
2022-09-26,82948.88230500008
2022-09-27,82950.74230500008
2022-09-28,83010.26230500008
2022-09-29,82993.52230500008
2022-09-30,82980.50230500009
2022-10-03,82989.80230500008
2022-10-04,82997.24230500008
2022-10-05,82984.22230500009
2022-10-06,82965.62230500008
2022-10-07,82948.88230500008
2022-10-10,82942.37230500008
2022-10-11,82948.88230500008
2022-10-12,82962.83230500009
2022-10-13,82917.26230500008
2022-10-14,82912.61230500008
2022-10-17,82926.56230500009
2022-10-18,82935.86230500008
2022-10-19,82907.03230500009
2022-10-20,82891.22230500009
2022-10-21,82930.28230500009
2022-10-24,82925.63230500008
2022-10-25,82940.51230500008
2022-10-26,82953.53230500009
2022-10-27,82984.22230500009
2022-10-28,82962.83230500009
2022-10-31,82939.58230500009
2022-11-01,82902.38230500008
2022-11-02,82893.08230500009
2022-11-03,82865.18230500008
2022-11-04,82880.99230500008
2022-11-07,82867.04230500008
2022-11-08,82885.64230500009
2022-11-09,82907.96230500008
2022-11-10,82987.94230500008
2022-11-11,82986.08230500009
2022-11-14,82969.34230500009
2022-11-15,82986.08230500009
2022-11-16,82989.80230500008
2022-11-17,82971.20230500009
2022-11-18,82954.46230500008
2022-11-21,82948.88230500008
2022-11-22,82960.04230500008
2022-11-23,82973.06230500009
2022-11-25,82976.78230500009
2022-11-28,82980.50230500009
2022-11-29,82975.85230500008
2022-11-30,82918.91769500008
2022-12-01,82910.7976950001
2022-12-02,82798.1326950001
2022-12-05,81229.79428000009
2022-12-06,81244.0042800001
2022-12-07,81277.4992800001
2022-12-08,81264.3042800001
2022-12-09,81258.2142800001
2022-12-12,81246.0342800001
2022-12-13,81292.7242800001
2022-12-14,81298.8142800001
2022-12-15,81262.2742800001
2022-12-16,81278.51428000009
2022-12-19,81259.2292800001
2022-12-20,81258.2142800001
2022-12-21,81272.4242800001
2022-12-22,81265.3192800001
2022-12-23,81252.1242800001
2022-12-27,81234.8692800001
2022-12-28,81233.8542800001
2022-12-29,81244.0042800001
2022-12-30,81230.8092800001
2023-01-03,81238.9292800001
2023-01-04,81255.16928000009
2023-01-05,81234.8692800001
2023-01-06,81294.7542800001
2023-01-09,81308.9642800001
2023-01-10,81299.82928000009
2023-01-11,81312.0092800001
2023-01-12,81347.5342800001
2023-01-13,81304.5703450001
2023-01-17,81223.42934500011
2023-01-18,79870.2035050001
2023-01-19,79867.1435050001
2023-01-20,79851.8435050001
2023-01-23,79738.12031500011
2023-01-24,79662.50031500011
2023-01-25,79669.46531500012
2023-01-26,80565.96031500012
2023-01-27,80751.03031500013
2023-01-30,79746.08031500012
2023-01-31,80914.21031500012
2023-02-01,81740.06031500011
2023-02-02,82949.98031500012
2023-02-03,82070.40031500012
2023-02-06,81600.76031500012
2023-02-07,82655.46031500012
2023-02-08,81750.01031500012
2023-02-09,81043.56031500011
2023-02-10,81214.70031500013
2023-02-13,82155.97031500012
2023-02-14,82151.99031500012
2023-02-15,82397.75531500012
2023-02-16,81266.44031500012
2023-02-17,81064.45531500012
2023-02-21,79433.65031500012
2023-02-22,79328.18031500012
2023-02-23,79740.11031500013
2023-02-24,78912.27031500012
2023-02-27,79162.01531500011
2023-02-28,78876.45031500013
2023-03-01,78568.99531500011
2023-03-02,79188.88031500012
2023-03-03,80451.53531500012
2023-03-06,80506.26031500012
2023-03-07,79280.42031500013
2023-03-08,79395.84031500012
2023-03-09,77865.04774000013
2023-03-10,77950.61774000012
2023-03-13,78111.80774000012
2023-03-14,78050.11774000012
2023-03-15,78145.63774000012
2023-03-16,78063.67859500012
2023-03-17,78047.22059500012
2023-03-20,78005.78759500012
2023-03-21,77928.00599500013
2023-03-22,76530.94312000011
2023-03-23,76485.36223500012
2023-03-24,76952.90223500012
2023-03-27,77092.58223500011
2023-03-28,76951.93223500012
2023-03-29,78045.12223500012
2023-03-30,78491.32223500012
2023-03-31,79604.88223500011
2023-04-03,79923.04223500012
2023-04-04,79474.90223500012
2023-04-05,79267.32223500012
2023-04-06,79575.78223500012
2023-04-10,79665.02223500011
2023-04-11,79667.93223500012
2023-04-12,79346.86223500012
2023-04-13,80386.7022350001
2023-04-14,80211.13223500011
2023-04-17,80491.46223500012
2023-04-18,80544.8122350001
2023-04-19,80553.54223500012
2023-04-20,80083.0922350001
2023-04-21,80146.14223500012
2023-04-24,80237.32223500012
2023-04-25,78974.38223500011
2023-04-26,78634.88223500011
2023-04-27,80188.82223500012
2023-04-28,80871.7022350001
2023-05-01,80805.74223500011
2023-05-02,79887.15223500012
