date,portfolio_value
2022-06-17,89587.98174999998
2022-06-21,92823.60174999997
2022-06-22,90833.63018999997
2022-06-23,90013.18018999997
2022-06-24,90301.40518999996
2022-06-27,90898.49758999997
2022-06-28,90898.49758999997
2022-06-29,90898.49758999997
2022-06-30,90898.49758999997
2022-07-01,90898.49758999997
2022-07-05,90898.49758999997
2022-07-06,90898.49758999997
2022-07-07,90898.49758999997
2022-07-08,90898.49758999997
2022-07-11,90898.49758999997
2022-07-12,90807.77081999998
2022-07-13,90526.53101999997
2022-07-14,90283.55601999996
2022-07-15,92010.53224999999
2022-07-18,92294.27286999999
2022-07-19,92294.27286999999
2022-07-20,92294.27286999999
2022-07-21,92294.27286999999
2022-07-22,92294.27286999999
2022-07-25,92294.27286999999
2022-07-26,92294.27286999999
2022-07-27,92294.27286999999
2022-07-28,92294.27286999999
2022-07-29,92294.27286999999
2022-08-01,92294.27286999999
2022-08-02,92294.27286999999
2022-08-03,92294.27286999999
2022-08-04,92202.21912999998
2022-08-05,92974.62912999999
2022-08-08,93176.75706999999
2022-08-09,93569.80026999998
2022-08-10,93569.80026999998
2022-08-11,93569.80026999998
2022-08-12,93569.80026999998
2022-08-15,93569.80026999998
2022-08-16,93569.80026999998
2022-08-17,93569.80026999998
2022-08-18,93569.80026999998
2022-08-19,93569.80026999998
2022-08-22,93523.19634999998
2022-08-23,93373.50730999997
2022-08-24,93526.18230999997
2022-08-25,94117.83774999998
2022-08-26,94117.83774999998
2022-08-29,94117.83774999998
2022-08-30,94024.65888999996
2022-08-31,93751.59468999997
2022-09-01,94310.92900999998
2022-09-02,95452.75362999999
2022-09-06,95350.91362999998
2022-09-07,95048.43362999998
2022-09-08,95172.31362999999
2022-09-09,95735.47970999999
2022-09-12,95735.47970999999
2022-09-13,95735.47970999999
2022-09-14,95735.47970999999
2022-09-15,95735.47970999999
2022-09-16,95735.47970999999
2022-09-19,95735.47970999999
2022-09-20,95735.47970999999
2022-09-21,95592.03833999998
